new_#,midterm,week,week_title,Topic,Competency,You should be able to,Lecture,Lab,DOK,Yield,ID,old_#
1,1,1,How physiology works and what keeps you steady,Foundations of Physiology,Physiology and levels of function,"Define physiology and place a given process at the correct level of organization from molecule to organism, then state the level at which that process is best explained.",Yes,,1,core,w1-levels-function,1
2,1,1,How physiology works and what keeps you steady,Foundations of Physiology,Structure and function relationship,"Predict how a change in the structure of a molecule, cell, tissue, or organ alters its function, using examples from two different organ systems.",Yes,Yes,3,core,w1-structure-function,2
3,1,1,How physiology works and what keeps you steady,Foundations of Physiology,Homeostasis defined,"Define homeostasis, regulated variable, and setpoint, and distinguish homeostasis from chemical equilibrium and from steady state.",Yes,,2,core,w1-homeostasis,3
4,1,1,How physiology works and what keeps you steady,Foundations of Physiology,Feedback loop components,"Diagram a negative feedback loop labeling stimulus, sensor, afferent path, integrating center, efferent path, effector, and response, and trace body temperature or blood glucose through every step.",Yes,Yes,2,core,w1-feedback-components,4
5,1,1,How physiology works and what keeps you steady,Foundations of Physiology,Negative and positive feedback,"Distinguish negative from positive feedback by the direction of the response and give a physiological example of each, explaining why a positive feedback loop needs an outside event to end it.",Yes,,2,core,w1-feedback-types,5
6,1,1,How physiology works and what keeps you steady,Foundations of Physiology,Feedforward control and acclimatization,Explain anticipatory feedforward control and acclimatization and identify which one is operating in a given scenario.,Yes,,2,support,w1-feedforward,6
7,1,1,How physiology works and what keeps you steady,Foundations of Physiology,Local and reflex control pathways,Distinguish a local control pathway from a long distance reflex pathway and classify a given response as one or the other.,Yes,,2,high,w1-control-pathways,7
8,1,1,How physiology works and what keeps you steady,Foundations of Physiology,Mass balance,"Apply the mass balance equation to a solute or to body water and calculate the intake, production, and output combination that holds the amount in the body constant.",Yes,Yes,3,high,w1-mass-balance,8
9,1,1,How physiology works and what keeps you steady,Quantitative Skills for Physiology,Units and unit conversion,"Convert among the units used in physiology including molarity, osmolarity, milliequivalents, mmHg, liters per minute, and percent solutions.",Yes,Yes,2,core,w1-units-conversion,11
10,1,1,How physiology works and what keeps you steady,Quantitative Skills for Physiology,Graphing and data interpretation,"Construct a labeled graph with the independent variable on the x axis, and read slope, direction, and trend from a physiological data set.",,Yes,2,core,w1-lab-graphing,12
11,1,1,How physiology works and what keeps you steady,Quantitative Skills for Physiology,Experimental design and controls,"Identify the hypothesis, independent variable, dependent variable, and control condition in a physiology experiment and state what the control rules out.",,Yes,3,core,w1-lab-experimental-design,13
12,1,1,How physiology works and what keeps you steady,Quantitative Skills for Physiology,Measurement error and variability,Distinguish random from systematic error and explain why physiological measurements are repeated and averaged.,,Yes,2,support,w1-lab-measurement-error,14
13,1,2,The chemistry that does work in the body,Chemical Foundations,Water and solution properties,Explain how the polarity and hydrogen bonding of water determine solubility and identify whether a given solute is hydrophilic or hydrophobic.,Yes,,1,support,w1-water-properties,15
14,1,2,The chemistry that does work in the body,Chemical Foundations,pH and buffers,"Define pH, state the normal pH range of arterial blood, and explain how a buffer pair resists a change in pH when acid or base is added.",Yes,Yes,2,core,w1-ph-buffers,16
15,1,2,The chemistry that does work in the body,Chemical Foundations,Protein structure and function,Relate the levels of protein structure to binding site shape and explain how denaturation by heat or pH change destroys function.,Yes,Yes,2,high,w1-protein-function,17
16,1,2,The chemistry that does work in the body,Chemical Foundations,Enzyme activity and regulation,"Describe how enzymes lower activation energy and predict the effect of substrate concentration, temperature, pH, and competitive or allosteric inhibition on reaction rate.",Yes,Yes,3,core,w1-enzyme-function,18
17,1,2,The chemistry that does work in the body,Chemical Foundations,ATP and energy coupling,Explain how ATP hydrolysis is coupled to endergonic cellular work and name three categories of work that require it.,Yes,,2,core,w1-atp-energy,19
18,1,2,The chemistry that does work in the body,Chemical Foundations,Enzyme assay,"Measure enzyme activity across a range of temperature or pH using a spectrophotometric or colorimetric assay, plot the results, and identify the optimum.",,Yes,3,high,w1-lab-enzyme-assay,20
19,1,2,The chemistry that does work in the body,Metabolism and Energy Balance,ATP production pathways,"Compare glycolysis, the citric acid cycle, and oxidative phosphorylation by location, oxygen requirement, and ATP yield.",Yes,,2,core,w14-atp-pathways,246
20,1,3,Getting across the membrane,Foundations of Physiology,Body fluid compartments,"State the approximate volumes of total body water, intracellular fluid, extracellular fluid, plasma, and interstitial fluid in a 70 kg adult and compare the dominant solutes of the intracellular and extracellular compartments.",Yes,Yes,2,core,w1-fluid-compartments,9
21,1,3,Getting across the membrane,Foundations of Physiology,Compartment separation and clinical volume shifts,Predict the direction of water movement between compartments when extracellular osmolarity rises or falls and name a clinical situation that produces each shift.,Yes,,3,high,w1-compartment-shifts,10
22,1,3,Getting across the membrane,Membrane Structure and Diffusion,Membrane composition and fluidity,"Describe the fluid mosaic membrane and state how phospholipids, cholesterol, glycolipids, and integral and peripheral proteins contribute to its properties.",Yes,,2,core,w2-membrane-structure,21
23,1,3,Getting across the membrane,Membrane Structure and Diffusion,Determinants of permeability,"Rank molecules by their ability to cross a lipid bilayer unaided using size, charge, and lipid solubility, and predict which will require a protein.",Yes,,3,core,w2-permeability,22
24,1,3,Getting across the membrane,Membrane Structure and Diffusion,Simple diffusion and Fick's law,"State the variables in Fick's law of diffusion and predict how a change in concentration gradient, surface area, membrane thickness, or distance changes the rate of transfer.",Yes,Yes,3,core,w2-fick-diffusion,23
25,1,3,Getting across the membrane,Membrane Structure and Diffusion,Osmolarity and tonicity,"Calculate the osmolarity of a solution, distinguish osmolarity from tonicity, and classify a solution as isotonic, hypotonic, or hypertonic to a cell.",Yes,Yes,3,core,w2-osmolarity-tonicity,24
26,1,3,Getting across the membrane,Membrane Structure and Diffusion,Osmosis and cell volume,Predict the direction of water movement and the resulting change in cell volume when a cell is placed in a solution of stated osmolarity and penetrating solute content.,Yes,Yes,3,core,w2-osmosis-cell-volume,25
27,1,3,Getting across the membrane,Membrane Structure and Diffusion,Diffusion and osmosis experiment,Measure diffusion and osmotic movement across a selectively permeable membrane and relate the observed rate to molecular size and concentration gradient.,,Yes,2,core,w2-lab-diffusion-osmosis,26
28,1,3,Getting across the membrane,Membrane Structure and Diffusion,Tonicity and red blood cells,"Observe erythrocytes in solutions of different tonicity, identify crenation, normal shape, and hemolysis, and explain each result.",,Yes,2,high,w2-lab-rbc-tonicity,27
29,1,3,Getting across the membrane,Membrane Transport,Facilitated diffusion,Describe carrier and channel mediated diffusion and explain why carrier mediated transport shows saturation and specificity while simple diffusion does not.,Yes,,2,core,w2-facilitated-diffusion,28
30,1,3,Getting across the membrane,Membrane Transport,Primary active transport,"Explain how the sodium potassium ATPase uses ATP to move three sodium out and two potassium in, and state the two gradients it maintains.",Yes,Yes,2,core,w2-primary-active-transport,29
31,1,3,Getting across the membrane,Membrane Transport,Secondary active transport,Distinguish symport from antiport and trace how the sodium gradient powers glucose uptake by SGLT and calcium removal by the sodium calcium exchanger.,Yes,,3,core,w2-secondary-active-transport,30
