id,topic,old_week,new_week,action,reason
w1-levels-function,Foundations of Physiology,1,1,unchanged,topic moves as a block
w1-structure-function,Foundations of Physiology,1,1,unchanged,topic moves as a block
w1-homeostasis,Foundations of Physiology,1,1,unchanged,topic moves as a block
w1-feedback-components,Foundations of Physiology,1,1,unchanged,topic moves as a block
w1-feedback-types,Foundations of Physiology,1,1,unchanged,topic moves as a block
w1-feedforward,Foundations of Physiology,1,1,unchanged,topic moves as a block
w1-control-pathways,Foundations of Physiology,1,1,unchanged,topic moves as a block
w1-mass-balance,Foundations of Physiology,1,1,unchanged,topic moves as a block
w1-fluid-compartments,Foundations of Physiology,1,3,moved,compartments belong with membranes and transport
w1-compartment-shifts,Foundations of Physiology,1,3,moved,clinical volume shifts follow the compartments
w1-units-conversion,Quantitative Skills for Physiology,1,1,unchanged,topic moves as a block
w1-lab-graphing,Quantitative Skills for Physiology,1,1,unchanged,topic moves as a block
w1-lab-experimental-design,Quantitative Skills for Physiology,1,1,unchanged,topic moves as a block
w1-lab-measurement-error,Quantitative Skills for Physiology,1,1,unchanged,topic moves as a block
w1-water-properties,Chemical Foundations,1,2,moved,topic moves as a block
w1-ph-buffers,Chemical Foundations,1,2,moved,topic moves as a block
w1-protein-function,Chemical Foundations,1,2,moved,topic moves as a block
w1-enzyme-function,Chemical Foundations,1,2,moved,topic moves as a block
w1-atp-energy,Chemical Foundations,1,2,moved,topic moves as a block
w1-lab-enzyme-assay,Chemical Foundations,1,2,moved,topic moves as a block
w2-membrane-structure,Membrane Structure and Diffusion,2,3,moved,topic moves as a block
w2-permeability,Membrane Structure and Diffusion,2,3,moved,topic moves as a block
w2-fick-diffusion,Membrane Structure and Diffusion,2,3,moved,topic moves as a block
w2-osmolarity-tonicity,Membrane Structure and Diffusion,2,3,moved,topic moves as a block
w2-osmosis-cell-volume,Membrane Structure and Diffusion,2,3,moved,topic moves as a block
w2-lab-diffusion-osmosis,Membrane Structure and Diffusion,2,3,moved,topic moves as a block
w2-lab-rbc-tonicity,Membrane Structure and Diffusion,2,3,moved,topic moves as a block
w2-facilitated-diffusion,Membrane Transport,2,3,moved,topic moves as a block
w2-primary-active-transport,Membrane Transport,2,3,moved,topic moves as a block
w2-secondary-active-transport,Membrane Transport,2,3,moved,topic moves as a block
w2-transport-maximum,Membrane Transport,2,3,moved,topic moves as a block
w2-vesicular-transport,Membrane Transport,2,3,moved,topic moves as a block
w2-transepithelial-transport,Membrane Transport,2,3,moved,topic moves as a block
w2-lab-transport-sim,Membrane Transport,2,3,moved,topic moves as a block
w2-electrochemical-gradient,Membrane Potential,2,4,moved,topic moves as a block
w2-nernst,Membrane Potential,2,4,moved,topic moves as a block
w2-resting-potential,Membrane Potential,2,4,moved,topic moves as a block
w2-ion-channels,Membrane Potential,2,4,moved,topic moves as a block
