#,Module,Module title,Topic,Competency,You should be able to,Lecture,Lab,DOK,Yield,ID
1,1,"Foundations, Membranes and Cell Signaling",Foundations of Physiology,Physiology and levels of function,"Define physiology and place a given process at the correct level of organization from molecule to organism, then state the level at which that process is best explained.",Yes,,1,core,w1-levels-function
2,1,"Foundations, Membranes and Cell Signaling",Foundations of Physiology,Structure and function relationship,"Predict how a change in the structure of a molecule, cell, tissue, or organ alters its function, using examples from two different organ systems.",Yes,Yes,3,core,w1-structure-function
3,1,"Foundations, Membranes and Cell Signaling",Foundations of Physiology,Homeostasis defined,"Define homeostasis, regulated variable, and setpoint, and distinguish homeostasis from chemical equilibrium and from steady state.",Yes,,2,core,w1-homeostasis
4,1,"Foundations, Membranes and Cell Signaling",Foundations of Physiology,Feedback loop components,"Diagram a negative feedback loop labeling stimulus, sensor, afferent path, integrating center, efferent path, effector, and response, and trace body temperature or blood glucose through every step.",Yes,Yes,2,core,w1-feedback-components
5,1,"Foundations, Membranes and Cell Signaling",Foundations of Physiology,Negative and positive feedback,"Distinguish negative from positive feedback by the direction of the response and give a physiological example of each, explaining why a positive feedback loop needs an outside event to end it.",Yes,,2,core,w1-feedback-types
6,1,"Foundations, Membranes and Cell Signaling",Foundations of Physiology,Feedforward control and acclimatization,Explain anticipatory feedforward control and acclimatization and identify which one is operating in a given scenario.,Yes,,2,support,w1-feedforward
7,1,"Foundations, Membranes and Cell Signaling",Foundations of Physiology,Local and reflex control pathways,Distinguish a local control pathway from a long distance reflex pathway and classify a given response as one or the other.,Yes,,2,high,w1-control-pathways
8,1,"Foundations, Membranes and Cell Signaling",Foundations of Physiology,Mass balance,"Apply the mass balance equation to a solute or to body water and calculate the intake, production, and output combination that holds the amount in the body constant.",Yes,Yes,3,high,w1-mass-balance
9,1,"Foundations, Membranes and Cell Signaling",Foundations of Physiology,Body fluid compartments,"State the approximate volumes of total body water, intracellular fluid, extracellular fluid, plasma, and interstitial fluid in a 70 kg adult and compare the dominant solutes of the intracellular and extracellular compartments.",Yes,Yes,2,core,w1-fluid-compartments
10,1,"Foundations, Membranes and Cell Signaling",Foundations of Physiology,Compartment separation and clinical volume shifts,Predict the direction of water movement between compartments when extracellular osmolarity rises or falls and name a clinical situation that produces each shift.,Yes,,3,high,w1-compartment-shifts
11,1,"Foundations, Membranes and Cell Signaling",Quantitative Skills for Physiology,Units and unit conversion,"Convert among the units used in physiology including molarity, osmolarity, milliequivalents, mmHg, liters per minute, and percent solutions.",Yes,Yes,2,core,w1-units-conversion
12,1,"Foundations, Membranes and Cell Signaling",Quantitative Skills for Physiology,Graphing and data interpretation,"Construct a labeled graph with the independent variable on the x axis, and read slope, direction, and trend from a physiological data set.",,Yes,2,core,w1-lab-graphing
13,1,"Foundations, Membranes and Cell Signaling",Quantitative Skills for Physiology,Experimental design and controls,"Identify the hypothesis, independent variable, dependent variable, and control condition in a physiology experiment and state what the control rules out.",,Yes,3,core,w1-lab-experimental-design
14,1,"Foundations, Membranes and Cell Signaling",Quantitative Skills for Physiology,Measurement error and variability,Distinguish random from systematic error and explain why physiological measurements are repeated and averaged.,,Yes,2,support,w1-lab-measurement-error
15,1,"Foundations, Membranes and Cell Signaling",Chemical Foundations,Water and solution properties,Explain how the polarity and hydrogen bonding of water determine solubility and identify whether a given solute is hydrophilic or hydrophobic.,Yes,,1,support,w1-water-properties
16,1,"Foundations, Membranes and Cell Signaling",Chemical Foundations,pH and buffers,"Define pH, state the normal pH range of arterial blood, and explain how a buffer pair resists a change in pH when acid or base is added.",Yes,Yes,2,core,w1-ph-buffers
